ключ;бренд;тир;частотность;съёмов_с_позицией;всего_позиций;лучшая_позиция;попаданий_ТОП10;попаданий_ТОП3;доменов;групп
casino slotgames;slotgames;НЧ;163075;5;5;5;1;0;4;4
слотгеймс;slotgames;НЧ;163075;34;58;5;5;0;45;21
slotgames casino;slotgames;НЧ;163075;5;5;10;1;0;5;5
crystalslot;crystalslot;НЧ;157215;37;61;1;9;5;45;24
crystalslot играть онлайн;crystalslot;НЧ;157215;38;71;1;20;10;55;24
казино кристалслот официальный;crystalslot;НЧ;157215;41;74;1;12;7;50;23
кристалслот казино регистрация;crystalslot;НЧ;157215;75;164;1;19;10;113;41
casino crystalslot;crystalslot;НЧ;157215;29;37;2;8;3;31;20
crystalslot casino;crystalslot;НЧ;157215;37;59;2;4;2;50;25
crystalslot казино;crystalslot;НЧ;157215;33;56;2;13;4;44;23
казино crystalslot;crystalslot;НЧ;157215;36;72;2;10;2;56;23
казино кристалслот;crystalslot;НЧ;157215;21;23;2;6;3;20;17
кристалслот казино;crystalslot;НЧ;157215;25;28;2;10;3;23;19
aurora casino;aurora casino;НЧ;150220;25;36;1;13;8;32;18
аврора казино;aurora casino;НЧ;150220;36;56;1;15;6;42;22
аврора казино вход;aurora casino;НЧ;150220;38;59;1;9;6;51;26
аврора казино зеркало;aurora casino;НЧ;150220;38;59;1;22;9;50;23
аврора казино играть;aurora casino;НЧ;150220;48;84;1;18;6;67;28
аврора казино официальный;aurora casino;НЧ;150220;46;74;1;7;5;61;31
аврора казино официальный сайт;aurora casino;НЧ;150220;45;87;1;8;6;66;28
аврора казино регистрация;aurora casino;НЧ;150220;47;74;1;18;9;63;30
казино аврора;aurora casino;НЧ;150220;17;26;1;7;4;24;14
казино аврора зеркало;aurora casino;НЧ;150220;34;49;1;10;4;42;24
enomo casino официальный;enomo;НЧ;144249;30;45;1;11;6;39;21
enomo casino зеркало;enomo;НЧ;144249;35;42;2;11;5;33;22
enomo casino официальный сайт;enomo;НЧ;144249;31;47;2;6;3;42;23
casino enomo;enomo;НЧ;144249;18;18;3;7;1;17;15
enomo casino;enomo;НЧ;144249;23;29;3;8;1;26;16
enomo казино;enomo;НЧ;144249;27;38;3;8;1;34;22
казино enomo;enomo;НЧ;144249;28;35;3;5;1;30;22
enomo;enomo;НЧ;144249;56;112;4;9;0;86;29
tippy casino бонус;tippy;НЧ;142815;66;148;1;8;4;96;36
типпи казино официальный сайт;tippy;НЧ;142815;35;45;1;13;8;34;22
tippy casino;tippy;НЧ;142815;16;18;2;12;5;14;12
tippy casino зеркало;tippy;НЧ;142815;11;12;2;6;4;8;7
tippy казино;tippy;НЧ;142815;16;17;2;10;2;11;9
казино типпи;tippy;НЧ;142815;19;26;2;15;3;19;12
типпи казино;tippy;НЧ;142815;21;27;2;12;2;18;12
casino tippy;tippy;НЧ;142815;12;12;3;10;2;9;8
типпи казино зеркало;tippy;НЧ;142815;14;17;3;6;2;13;11
казино tippy;tippy;НЧ;142815;10;11;5;7;0;8;7
vulkan vegas казино;vulkan vegas;НЧ;140196;46;59;1;12;3;43;30
казино vulkan vegas;vulkan vegas;НЧ;140196;48;74;1;13;1;57;27
вулкан вегас слоты;vulkan vegas;НЧ;140196;49;113;2;14;9;78;28
казино вулкан вегас;vulkan vegas;НЧ;140196;59;120;2;14;2;86;31
casino vulkan vegas;vulkan vegas;НЧ;140196;49;81;3;8;4;59;28
вулкан вегас;vulkan vegas;НЧ;140196;51;107;3;8;1;80;31
вулкан вегас казино;vulkan vegas;НЧ;140196;54;121;3;14;1;89;32
vulkan vegas;vulkan vegas;НЧ;140196;40;63;4;11;0;50;23
vulkan vegas casino;vulkan vegas;НЧ;140196;50;86;4;14;0;68;33
вулкан вегас казино официальный сайт;vulkan vegas;НЧ;140196;50;99;4;6;0;75;29
голдфишка казино регистрация;goldfishka;НЧ;136700;24;36;1;11;6;33;19
голдфишка казино онлайн;goldfishka;НЧ;136700;31;50;2;6;4;47;26
голдфишка официальный сайт;goldfishka;НЧ;136700;44;92;2;4;2;67;27
казино голдфишка;goldfishka;НЧ;136700;13;15;2;2;1;15;12
goldfishka;goldfishka;НЧ;136700;21;28;3;2;1;26;15
голдфишка казино;goldfishka;НЧ;136700;9;10;3;2;1;8;7
casino goldfishka;goldfishka;НЧ;136700;21;34;4;2;0;30;17
голдфишка;goldfishka;НЧ;136700;21;24;4;3;0;21;16
goldfishka casino;goldfishka;НЧ;136700;18;22;7;3;0;17;12
казино goldfishka;goldfishka;НЧ;136700;16;23;8;2;0;23;14
битстарз казино зеркало;bitstarz;НЧ;133117;27;36;2;6;1;29;19
битстарз казино регистрация;bitstarz;НЧ;133117;59;115;2;26;5;81;32
казино битстарз зеркало;bitstarz;НЧ;133117;27;45;2;13;8;38;22
bitstarz;bitstarz;НЧ;133117;44;102;6;1;0;69;25
казино битстарз;bitstarz;НЧ;133117;44;89;6;2;0;61;27
bitstarz casino;bitstarz;НЧ;133117;41;64;10;1;0;49;25
битстарз казино;bitstarz;НЧ;133117;41;73;10;1;0;55;24
казино bitstarz;bitstarz;НЧ;133117;37;76;10;1;0;60;22
bitstarz казино;bitstarz;НЧ;133117;37;56;11;0;0;46;26
casino bitstarz;bitstarz;НЧ;133117;38;71;18;0;0;58;27
fraga casino зеркало;fraga;НЧ;130194;7;7;1;4;2;5;5
fraga casino официальный сайт;fraga;НЧ;130194;15;16;1;6;5;13;11
fraga казино;fraga;НЧ;130194;9;10;1;6;1;8;7
фрага казино официальный сайт;fraga;НЧ;130194;19;26;1;6;2;22;13
fraga casino;fraga;НЧ;130194;10;12;2;8;1;10;8
casino fraga;fraga;НЧ;130194;15;19;3;8;1;15;11
казино фрага;fraga;НЧ;130194;17;19;3;4;1;15;12
фрага казино;fraga;НЧ;130194;22;32;3;8;1;25;16
казино fraga;fraga;НЧ;130194;14;16;4;3;0;13;10
фрага казино зеркало;fraga;НЧ;130194;9;9;9;2;0;8;8
лилбет казино зеркало;lilbet;НЧ;129347;12;14;1;2;1;12;9
лилбет казино регистрация;lilbet;НЧ;129347;49;79;2;3;1;54;31
лилбет казино вход;lilbet;НЧ;129347;33;41;4;2;0;32;22
casino lilbet;lilbet;НЧ;129347;6;7;5;2;0;7;6
lilbet casino;lilbet;НЧ;129347;22;26;5;3;0;21;17
лилбет;lilbet;НЧ;129347;43;70;5;6;0;58;28
лилбет казино;lilbet;НЧ;129347;32;41;5;1;0;31;22
lilbet казино;lilbet;НЧ;129347;6;6;7;1;0;6;6
казино лилбет;lilbet;НЧ;129347;25;32;8;2;0;24;16
казино вайб;vibe;НЧ;114695;28;46;1;14;7;39;20
vibe casino;vibe;НЧ;114695;13;20;11;0;0;16;9
luckyduck casino официальный сайт;luckyduck;НЧ;113170;39;88;1;17;9;59;23
casino luckyduck;luckyduck;НЧ;113170;37;68;2;12;4;46;20
luckyduck casino;luckyduck;НЧ;113170;35;63;2;14;3;45;20
лакидак казино вход;luckyduck;НЧ;113170;49;89;2;18;7;63;32
казино luckyduck;luckyduck;НЧ;113170;40;68;3;13;1;53;25
казино лакидак;luckyduck;НЧ;113170;32;42;3;14;2;30;20
лакидак казино;luckyduck;НЧ;113170;24;36;3;15;1;26;15
luckyduck казино;luckyduck;НЧ;113170;35;57;4;18;0;41;21
luckyduck;luckyduck;НЧ;113170;28;45;15;0;0;31;18
лакидак;luckyduck;НЧ;113170;26;45;37;0;0;31;15
вулкан россия казино;vulkan russia;НЧ;99960;9;14;44;0;0;12;7
казино вулкан россия;vulkan russia;НЧ;99960;8;9;55;0;0;8;7
вулкан россия;vulkan russia;НЧ;99960;10;13;68;0;0;12;9
казино вулкан россия официальный сайт;vulkan russia;НЧ;99960;7;8;81;0;0;8;7
вулкан россия казино официальный сайт;vulkan russia;НЧ;99960;9;11;84;0;0;10;8
казино лаккли официальный сайт скачать;lukkly;НЧ;99267;69;143;1;62;34;108;37
лаккли бк зеркало сайта работающее на сегодня;lukkly;НЧ;99267;67;138;1;48;18;105;38
лаккли игровые автоматы официальный сайт вход на сайт;lukkly;НЧ;99267;39;60;1;26;17;51;26
лаккли казино официальный сайт скачать бесплатно;lukkly;НЧ;99267;82;189;1;61;34;135;41
скачать казино лаккли официальный сайт;lukkly;НЧ;99267;78;163;1;65;31;121;40
lukkly;lukkly;НЧ;99267;21;27;2;6;3;24;15
lukkly казино онлайн;lukkly;НЧ;99267;20;24;2;8;4;20;16
казино лаккли;lukkly;НЧ;99267;33;66;2;19;6;54;23
лаккли казино;lukkly;НЧ;99267;31;51;2;15;5;48;24
lukkly казино сайт;lukkly;НЧ;99267;13;18;3;6;2;17;12
shuffle casino официальный сайт;shuffle;НЧ;93024;10;11;2;2;1;10;9
shuffle casino бонус;shuffle;НЧ;93024;30;43;9;1;0;35;22
shuffle casino регистрация;shuffle;НЧ;93024;29;45;9;1;0;37;21
шаффл казино;shuffle;НЧ;93024;9;10;13;0;0;9;8
бонсай казино;bonsai;НЧ;90704;39;52;1;17;6;39;24
бонсай казино зеркало;bonsai;НЧ;90704;27;40;1;13;8;34;20
бонсай казино онлайн;bonsai;НЧ;90704;49;81;1;28;13;65;26
бонсай казино сайт;bonsai;НЧ;90704;28;37;1;17;15;32;19
казино бонсай;bonsai;НЧ;90704;42;54;1;17;10;44;26
bonsai casino зеркало;bonsai;НЧ;90704;13;15;2;1;1;12;10
bonsai казино зеркало;bonsai;НЧ;90704;15;19;2;4;2;18;13
бонсай казино официальный сайт;bonsai;НЧ;90704;30;43;2;8;4;40;22
виваро казино;vivaro;НЧ;85027;19;26;1;9;3;23;15
казино vivaro;vivaro;НЧ;85027;31;42;2;20;5;27;16
casino vivaro;vivaro;НЧ;85027;24;29;3;8;1;26;19
vivaro casino;vivaro;НЧ;85027;16;21;3;5;1;16;12
vivaro казино;vivaro;НЧ;85027;24;32;3;11;2;26;17
vivaro.am casino;vivaro;НЧ;85027;19;25;4;7;0;22;16
казино виваро;vivaro;НЧ;85027;18;22;4;9;0;20;15
виваро;vivaro;НЧ;85027;10;14;16;0;0;12;8
vivaro;vivaro;НЧ;85027;8;13;20;0;0;12;7
vivaro.am;vivaro;НЧ;85027;11;16;58;0;0;12;8
weiss casino скачать;weiss;НЧ;84120;62;150;1;3;1;109;35
weiss casino вход;weiss;НЧ;84120;6;6;2;1;1;6;6
казино weiss регистрация;weiss;НЧ;84120;45;62;2;1;1;45;29
weiss casino регистрация;weiss;НЧ;84120;32;44;3;2;1;34;22
everum;everum;НЧ;76024;69;151;1;26;11;109;39
everum casino вход;everum;НЧ;76024;34;45;1;14;8;36;23
everum казино регистрация;everum;НЧ;76024;47;76;1;18;10;61;29
казино эверум;everum;НЧ;76024;38;57;1;19;4;46;24
эверум казино зеркало;everum;НЧ;76024;34;57;1;19;8;46;23
casino everum;everum;НЧ;76024;22;33;2;10;3;30;14
everum casino;everum;НЧ;76024;29;51;2;16;2;42;22
everum казино;everum;НЧ;76024;30;50;2;16;4;40;18
everum казино зеркало;everum;НЧ;76024;25;40;2;16;8;31;18
эверум казино;everum;НЧ;76024;26;42;2;11;4;36;17
официальный джекпокер;jackpoker;НЧ;66822;47;85;3;18;2;74;26
джекпокер официальный сайт на русском;jackpoker;НЧ;66822;46;76;4;13;0;65;30
jackpoker играть;jackpoker;НЧ;66822;42;91;5;3;0;69;27
джекпокер зеркало;jackpoker;НЧ;66822;43;67;5;13;0;51;25
джекпокер официальный сайт;jackpoker;НЧ;66822;40;65;5;12;0;57;27
jackpoker вход зеркало;jackpoker;НЧ;66822;36;52;7;8;0;45;25
jackpoker зеркало работающее;jackpoker;НЧ;66822;18;22;7;3;0;19;15
jackpoker;jackpoker;НЧ;66822;27;50;9;1;0;45;21
jackpoker официальный сайт зеркало;jackpoker;НЧ;66822;17;20;13;0;0;19;14
jackpoker зеркало;jackpoker;НЧ;66822;10;11;18;0;0;10;7
vulkan stars регистрация;vulkan stars;НЧ;64010;36;68;2;25;4;54;25
вулкан старс регистрация;vulkan stars;НЧ;64010;62;136;2;38;8;100;32
вулкан старс казино;vulkan stars;НЧ;64010;59;119;3;17;1;91;34
вулкан старс казино зеркало;vulkan stars;НЧ;64010;50;104;3;17;1;74;29
vulkan stars casino;vulkan stars;НЧ;64010;40;74;4;3;0;56;24
вулкан старс казино официальный сайт;vulkan stars;НЧ;64010;55;113;4;17;0;84;30
вулкан старс официальный сайт казино;vulkan stars;НЧ;64010;62;143;4;16;0;98;32
вулкан старс;vulkan stars;НЧ;64010;55;126;5;11;0;91;33
вулкан старс зеркало;vulkan stars;НЧ;64010;46;89;5;13;0;66;26
казино вулкан старс;vulkan stars;НЧ;64010;46;91;6;7;0;75;31
spin city casino зеркало;spin city;НЧ;58181;30;41;1;13;4;29;19
spin city казино регистрация;spin city;НЧ;58181;55;112;1;30;12;78;32
спин сити казино официальный сайт вход;spin city;НЧ;58181;44;82;1;12;3;65;27
spin city промокод;spin city;НЧ;58181;48;109;2;28;11;89;30
спин сити casino бонус коды;spin city;НЧ;58181;53;129;2;23;8;97;33
спин сити казино;spin city;НЧ;58181;37;56;2;13;2;41;24
спин сити казино зеркало;spin city;НЧ;58181;31;40;2;12;2;32;20
спин сити казино официальный;spin city;НЧ;58181;37;60;2;9;1;46;24
spin city casino;spin city;НЧ;58181;42;63;4;12;0;49;26
спин сити;spin city;НЧ;58181;36;49;6;6;0;41;26
blitzred казино официальный;blitzred;НЧ;56669;69;203;1;30;13;134;34
blitzred;blitzred;НЧ;56669;59;130;2;19;1;95;31
blitzred casino зеркало;blitzred;НЧ;56669;71;188;2;18;7;122;37
blitz red casino blitzred 189w casino;blitzred;НЧ;56669;62;192;3;8;2;134;34
blitzred casino;blitzred;НЧ;56669;74;263;3;15;2;158;37
blitzred казино;blitzred;НЧ;56669;67;182;3;16;2;122;35
casino blitzred;blitzred;НЧ;56669;77;281;3;14;2;174;38
казино blitzred;blitzred;НЧ;56669;65;170;3;15;3;111;33
максбетслотс казино бонусы;maxbetslots;НЧ;44611;47;100;1;15;2;76;28
максбетслотс казино регистрация;maxbetslots;НЧ;44611;70;142;1;42;4;103;39
максбетслотс;maxbetslots;НЧ;44611;32;49;2;8;1;39;21
максбетслотс казино зеркало;maxbetslots;НЧ;44611;43;72;2;22;3;52;27
казино максбетслотс;maxbetslots;НЧ;44611;44;107;3;26;3;85;25
максбетслотс казино;maxbetslots;НЧ;44611;40;67;3;19;3;52;24
максбетслотс казино официальный сайт;maxbetslots;НЧ;44611;42;83;3;11;1;68;26
maxbetslots casino;maxbetslots;НЧ;44611;35;78;4;9;0;57;23
casino maxbetslots;maxbetslots;НЧ;44611;38;70;5;8;0;51;24
maxbetslots;maxbetslots;НЧ;44611;29;38;5;7;0;29;18
казино казинора;casinora;НЧ;40274;38;71;1;14;11;61;28
казинора казино;casinora;НЧ;40274;33;48;1;7;7;43;23
casino casinora;casinora;НЧ;40274;54;145;2;6;2;103;27
casinora casino;casinora;НЧ;40274;63;160;2;8;5;112;34
casinora casino-ra.24xx;casinora;НЧ;40274;62;162;2;11;5;119;35
casinora казино;casinora;НЧ;40274;63;145;2;14;4;105;33
казинора;casinora;НЧ;40274;20;26;2;3;1;18;13
казино casinora;casinora;НЧ;40274;57;148;3;14;7;104;32
casinora;casinora;НЧ;40274;23;38;5;3;0;33;17
spacewin зеркало;spacewin;НЧ;36574;44;111;1;11;3;90;31
спейсвин;spacewin;НЧ;36574;64;125;1;12;6;97;38
casino spacewin;spacewin;НЧ;36574;52;104;2;4;1;74;30
spacewin casino;spacewin;НЧ;36574;39;68;2;6;2;56;24
spacewin вход;spacewin;НЧ;36574;71;199;2;13;3;138;39
казино spacewin;spacewin;НЧ;36574;46;97;2;3;2;73;30
казино спейсвин;spacewin;НЧ;36574;67;174;2;13;3;118;37
спейсвин казино;spacewin;НЧ;36574;58;155;2;6;2;111;35
spacewin казино;spacewin;НЧ;36574;44;96;4;1;0;76;29
spacewin;spacewin;НЧ;36574;24;29;8;1;0;25;17
casino lucky bird luckybird.club24.top;lucky bird;НЧ;4135;58;141;1;14;8;116;33
lucky bird casino luckybird.club24.top;lucky bird;НЧ;4135;56;146;1;9;4;120;34
lucky bird casino зеркало;lucky bird;НЧ;4135;23;30;1;6;1;27;17
casino lucky bird;lucky bird;НЧ;4135;21;30;4;7;0;27;16
casino lucky bird luckybird.game13.fun;lucky bird;НЧ;4135;45;92;4;6;0;83;29
lucky bird casino luckybird.game13.fun;lucky bird;НЧ;4135;44;89;4;9;0;74;30
lucky bird casino;lucky bird;НЧ;4135;20;28;5;4;0;25;16
lucky bird casino - бездепозитный бонус;lucky bird;НЧ;4135;31;56;10;2;0;50;24
скачать мостбет официальный букмекер мостбет;mostbet bookmaker;НЧ;2624;17;18;2;9;2;14;13
скачать мостбет андроид сайта букмекера зайти на;mostbet bookmaker;НЧ;2624;14;15;7;1;0;11;10
скачать мостбет официальный букмекер мостбет androidbaza;mostbet bookmaker;НЧ;2624;15;17;10;1;0;12;10
мостбет apk со стороны букмекера для;mostbet bookmaker;НЧ;2624;5;5;18;0;0;4;4
скачать мостбет апк сайта букмекера зайти на;mostbet bookmaker;НЧ;2624;6;6;69;0;0;5;5
onetap;onetap;НЧ;1188;6;6;71;0;0;3;3
casino vulkan prestige;vulkan prestige;НЧ;622;34;54;1;18;5;41;26
vulkan prestige casino;vulkan prestige;НЧ;622;38;62;1;23;6;52;24
vulkan prestige казино;vulkan prestige;НЧ;622;44;74;1;37;11;59;29
вулкан казино престиж;vulkan prestige;НЧ;622;36;56;1;34;16;47;24
вулкан престиж казино;vulkan prestige;НЧ;622;29;45;1;23;6;38;21
казино vulkan prestige;vulkan prestige;НЧ;622;43;70;1;28;6;61;29
казино вулкан престиж;vulkan prestige;НЧ;622;46;91;1;41;6;77;29
казино вулкан престиж на андроид mobilnye-casino.com;vulkan prestige;НЧ;622;58;124;1;14;3;103;35
вулкан престиж;vulkan prestige;НЧ;622;35;58;3;13;2;49;25
вулкан престиж спин;vulkan prestige;НЧ;622;38;71;3;20;1;58;23
casino vulkan mega;vulkan mega;НЧ;397;40;71;1;10;2;56;25
vulkan mega casino;vulkan mega;НЧ;397;37;54;1;18;3;45;26
вулкан мега вход;vulkan mega;НЧ;397;36;56;1;34;15;43;23
вулкан мега казино;vulkan mega;НЧ;397;39;69;1;17;4;55;26
вулкан мега казино официальный сайт;vulkan mega;НЧ;397;32;53;1;9;3;46;22
вулкан мега официальный сайт;vulkan mega;НЧ;397;33;55;1;16;9;46;21
казино vulkan mega;vulkan mega;НЧ;397;22;30;1;8;2;25;15
мега вулкан;vulkan mega;НЧ;397;42;70;2;4;1;53;25
вулкан мега;vulkan mega;НЧ;397;49;90;5;12;0;72;30
вулкан мега казино vulkan-mega.453138 casino;vulkan mega;НЧ;397;11;12;63;0;0;12;11
